Hole_ID,X,Y,Z,Depth
DH145,250332.751,350126.53800000064,185.18,20.0
DH146,250328.47099999996,350180.0480000004,178.58,5.0
DH147,250329.99099999998,350230.38800000027,201.96,9.0
DH148,250339.93099999998,350272.59800000116,204.05,15.0
DH149,250346.10299999994,350010.26900000125,186.675,7.0
DH150,250346.321,350060.9079999998,189.81,26.5
DH151,250357.54099999997,350093.85800000094,200.17,17.0
DH152,250354.61099999998,350164.2280000001,184.06,17.5
DH153,250358.24099999998,350196.82799999975,201.54,16.0
DH154,250365.22699999996,350244.6980000008,216.564,3.2
DH155,250376.538,350033.7520000003,188.718,17.0
DH156,250379.061,350083.7379999999,204.81,33.0
DH157,250380.03099999996,350121.4480000008,196.04,15.6
DH158,250387.98099999997,350184.9879999999,193.48,21.4
DH159,250384.90099999995,350237.8780000005,217.49,7.3
DH160,250381.201,350277.188000001,221.49,8.5
DH161,250406.56299999997,350001.3300000001,202.432,21.5
DH162,250418.74099999998,350054.6679999996,207.24,15.5
DH163,250410.223,350090.7249999996,211.387,23.5
DH164,250415.74099999998,350157.5080000013,190.3,17.7
DH165,250400.65099999995,350200.5580000002,204.5,26.3
DH166,250407.011,350256.4780000001,224.82,15.0
DH167,250432.85099999997,350035.3680000007,209.59,24.0
DH168,250428.67599999998,350082.5170000009,215.667,30.0
DH169,250435.65099999995,350133.39800000004,208.83,32.6
DH170,250436.74099999998,350182.3680000007,196.21,18.5
DH171,250426.201,350244.57799999975,221.81,14.0
DH172,250431.071,350274.6980000008,228.54,14.6
DH173,250460.97099999996,350057.4879999999,221.78,10.5
DH174,250440.701,350105.02800000086,216.44,32.3
DH175,250457.251,350145.13800000027,209.1,21.3
DH176,250460.52099999995,350206.77800000086,210.11,22.7
DH177,250457.261,350256.53800000064,225.5,13.0
DH178,250480.84099999996,350029.39800000004,225.32,19.0
DH179,250477.14099999995,350086.7680000011,228.85,21.9
DH180,250480.30899999995,350125.6210000012,218.411,15.0
DH181,250489.90099999995,350182.2580000013,210.13,29.2
DH182,250488.46099999995,350235.67800000124,219.9,31.3
DH183,250468.40099999995,350270.09800000116,226.85,16.3
DH184,250517.511,350006.71800000034,237.86,24.5
DH185,250506.311,350052.5480000004,236.7,24.1
DH186,250500.919,350101.1339999996,229.309,13.5
DH187,250509.0,350157.4539999999,218.333,17.2
DH188,250505.011,350212.27800000086,219.55,16.4
DH189,250507.631,350251.88800000027,227.12,26.0
DH190,250530.11099999998,350032.35800000094,243.46,18.0
DH191,250526.04099999997,350072.7379999999,240.47,34.0
DH192,250534.03099999996,350128.06799999997,231.95,33.0
DH193,250534.90999999997,350173.7129999995,225.285,14.0
DH194,250532.62099999998,350231.688000001,227.17,28.0
DH195,250530.60099999997,350275.46800000034,233.69,27.7
DH196,250562.501,350012.07799999975,246.66,34.0
DH197,250561.74099999998,350053.07799999975,249.87,17.5
DH198,250560.251,350101.8780000005,244.99,16.0
DH199,250563.951,350163.3080000002,235.91,19.0
DH200,250561.33899999998,350197.6640000008,235.58,28.0
DH201,250553.751,350254.4079999998,233.38,33.0
DH202,250580.97099999996,350031.5180000011,249.94,32.0
DH203,250582.01799999998,350072.1620000005,253.03,19.0
DH204,250580.86099999998,350127.8379999995,248.79,15.3
DH205,250587.40099999995,350173.59500000067,245.673,14.0
DH206,250584.79099999997,350229.7680000011,236.75,29.0
DH207,250570.811,350277.31799999997,229.61,30.0
DH208,250602.511,350019.02800000086,247.85,33.0
DH209,250607.381,350058.09800000116,256.43,12.0
DH210,250607.45999999996,350105.5,257.371,18.5
DH211,250603.72099999996,350156.9879999999,251.8,35.0
DH212,250632.441,350028.2980000004,251.45,29.7
DH213,250635.72099999996,350080.52800000086,262.57,16.0
DH214,250633.201,350129.9780000001,261.92,17.0
DH215,250633.821,350176.20800000057,255.68,25.0
DH216,250657.941,350015.64800000004,247.37,29.0
DH217,250652.33099999995,350104.0080000013,266.08,24.0
DH218,250656.78599999996,350154.05000000075,263.927,16.3
DH219,250680.441,350027.0480000004,249.08,21.0
DH220,250678.68299999996,350081.3379999995,268.022,3.0
DH221,250685.39099999995,350130.64800000004,272.04,24.0
DH222,250686.951,350172.2980000004,264.3,26.0
DH223,250697.42099999997,350020.2680000011,238.28,28.0
DH224,250249.34699999995,350347.75400000066,168.154,25.5
DH225,250248.93299999996,350449.66000000015,160.651,28.0
DH226,250349.73699999996,350350.2709999997,196.903,20.4
DH227,250351.30199999997,350448.04700000025,178.157,33.0
DH228,250348.25899999996,350498.7430000007,166.525,28.5
DH229,250450.21499999997,350349.4620000012,201.783,19.0
DH230,250450.202,350449.59800000116,183.24,27.7
DH231,250548.82999999996,350347.2039999999,206.947,12.4
DH232,250550.50399999996,350447.8920000009,175.7,17.7
DH233,250574.68799999997,350474.48900000006,175.388,24.5
DH234,250599.65999999997,350399.5449999999,191.708,7.0
DH235,250599.587,350449.5050000008,187.183,22.0
DH236,250624.62999999995,350424.56799999997,196.172,10.0
DH237,250622.99599999998,350473.3110000007,198.835,19.5
DH238,250650.24399999995,350263.57799999975,231.61,22.0
DH239,250649.63999999996,350349.5769999996,203.984,26.6
DH240,250649.712,350399.59500000067,204.443,17.5
DH241,250649.66999999998,350449.5600000005,205.48,36.5
DH242,250645.47799999994,350498.722000001,200.108,17.5
DH243,250686.653,350386.51600000076,196.854,22.5
DH244,250674.72799999994,350424.597000001,198.384,34.5
DH245,250674.64999999997,350474.5490000006,196.128,15.5
DH246,250699.67099999997,350299.55900000036,211.652,22.0
DH247,250699.674,350349.53500000015,198.851,8.0
DH248,250711.66699999996,350411.5460000001,185.618,17.5
DH249,250699.61299999995,350449.5640000012,185.52,9.5
DH250,250698.37,350499.2050000001,177.322,30.5
