Hole_ID,From,To,Lithology
DH021,24.0,25.0,RSAP
DH021,25.0,26.0,SAP
DH021,26.0,27.0,RSAP
DH021,27.0,27.4,SROC
DH021,27.4,28.0,BRK
DH021,28.0,28.7,BRK
DH022,0.0,1.0,SOIL
DH022,1.0,2.0,LIMO
DH022,2.0,3.0,LIMO
DH022,3.0,4.0,LIMO
DH022,4.0,5.0,LIMO
DH022,5.0,6.0,LIMO
DH022,6.0,7.0,LIMO
DH022,7.0,8.0,LIMO
DH022,8.0,9.0,LIMO
DH022,9.0,10.0,LIMO
DH022,10.0,11.0,LIMO
DH022,11.0,11.4,SAP
DH022,11.4,12.0,SROC
DH022,12.0,13.0,BRK
DH022,13.0,13.5,BRK
DH023,0.0,1.0,SOIL
DH023,1.0,2.0,LIMO
DH023,2.0,3.0,LIMO
DH023,3.0,4.0,LIMO
DH023,4.0,5.0,LIMO
DH023,5.0,6.0,LIMO
DH023,6.0,6.7,SAP
DH023,6.7,7.0,SAP
DH023,7.0,8.0,SAP
DH023,8.0,9.0,BRK
DH023,9.0,10.0,BRK
DH024,0.0,1.0,SOIL
DH024,1.0,1.5,LIMO
DH024,1.5,2.0,BLD
DH024,2.0,3.0,SROC
DH024,3.0,3.5,BRK
DH025,0.0,1.0,SOIL
DH025,1.0,2.0,LIMO
DH025,2.0,3.0,LIMO
DH025,3.0,4.0,LIMO
DH025,4.0,4.5,SAP
DH025,4.5,5.0,SAP
DH025,5.0,5.6,SAP
DH025,5.6,6.0,SAP
DH025,6.0,7.0,SAP
DH025,7.0,8.0,SAP
DH025,8.0,9.0,SAP
DH025,9.0,10.0,RSAP
DH025,10.0,11.0,SROC
DH026,0.0,1.0,SOIL
DH026,1.0,2.0,LIMO
DH026,2.0,3.0,LIMO
DH026,3.0,4.0,LIMO
DH026,4.0,5.0,LIMO
DH026,5.0,5.5,RSAP
DH026,5.5,6.0,RSAP
DH026,6.0,7.0,SAP
DH026,7.0,8.0,BRK
DH026,8.0,9.0,BRK
DH027,0.0,1.0,LIMO
DH027,1.0,2.0,LIMO
DH027,2.0,2.7,LIMO
DH027,2.7,3.0,SAP
DH027,3.0,4.0,SAP
DH027,4.0,5.0,SAP
DH027,5.0,6.0,BLD
DH027,6.0,6.6,BLD
DH027,6.6,7.0,SAP
DH027,7.0,8.0,SAP
DH027,8.0,9.0,BRK
DH028,0.0,1.0,LIMO
DH028,1.0,2.0,LIMO
DH028,2.0,3.0,LIMO
DH028,3.0,4.0,LIMO
DH028,4.0,5.0,LIMO
DH028,5.0,6.0,SAP
DH028,6.0,6.3,SAP
DH028,6.3,6.7,BLD
DH028,6.7,7.0,SAP
DH028,7.0,8.0,SAP
DH028,8.0,8.5,SAP
DH028,8.5,8.8,BLD
DH028,8.8,9.0,SAP
DH028,9.0,9.7,SAP
DH028,9.7,10.0,BRK
DH028,10.0,11.0,BRK
DH029,0.0,1.0,LIMO
DH029,1.0,2.0,LIMO
DH029,2.0,3.0,LIMO
DH029,3.0,4.0,LIMO
DH029,4.0,5.0,LIMO
DH029,5.0,6.0,LIMO
DH029,6.0,7.0,LIMO
DH029,7.0,8.0,LIMO
DH029,8.0,9.0,LIMO
DH029,9.0,10.0,LIMO
DH029,10.0,11.0,LIMO
DH029,11.0,12.0,LIMO
DH029,12.0,13.0,LIMO
DH029,13.0,14.0,LIMO
DH029,14.0,15.0,LIMO
DH029,15.0,16.0,SAP
DH029,16.0,16.4,SAP
DH029,16.4,17.0,BLD
DH029,17.0,17.7,BLD
DH029,17.7,18.0,SAP
DH029,18.0,18.3,SAP
DH029,18.3,19.0,BRK
DH030,0.0,0.7,SOIL
DH030,0.7,1.0,LIMO
DH030,1.0,2.0,LIMO
DH030,2.0,3.0,LIMO
DH030,3.0,4.0,LIMO
DH030,4.0,5.0,LIMO
DH030,5.0,6.0,LIMO
DH030,6.0,7.0,LIMO
DH030,7.0,8.0,LIMO
DH030,8.0,9.0,LIMO
DH030,9.0,10.0,LIMO
DH030,10.0,11.0,LIMO
DH030,11.0,12.0,LIMO
DH030,12.0,13.0,LIMO
DH030,13.0,14.0,LIMO
DH030,14.0,15.0,LIMO
DH030,15.0,16.0,SAP
DH030,16.0,16.7,SAP
DH030,16.7,17.0,RSAP
DH031,0.0,1.0,SOIL
DH031,1.0,2.0,LIMO
DH031,2.0,3.0,LIMO
DH031,3.0,4.0,LIMO
DH031,4.0,5.0,LIMO
DH031,5.0,6.0,LIMO
DH031,6.0,7.0,LIMO
DH031,7.0,8.0,LIMO
DH031,8.0,9.0,SAP
DH031,9.0,9.3,SROC
DH031,9.3,10.0,RSAP
DH031,10.0,11.0,SROC
DH031,11.0,11.5,SAP
DH031,11.5,12.0,BRK
DH031,12.0,13.0,BRK
DH031,13.0,13.5,BRK
DH032,0.0,1.0,SOIL
DH032,1.0,2.0,LIMO
DH032,2.0,3.0,LIMO
DH032,3.0,4.0,LIMO
DH032,4.0,5.0,LIMO
DH032,5.0,6.0,LIMO
DH032,6.0,7.0,BRK
DH032,7.0,8.0,BRK
DH033,0.0,1.0,SOIL
DH033,1.0,2.0,LIMO
DH033,2.0,3.0,BRK
DH033,3.0,4.0,BRK
DH034,0.0,1.0,SOIL
DH034,1.0,2.0,LIMO
DH034,2.0,3.0,LIMO
DH034,3.0,4.0,SAP
DH034,4.0,5.0,SAP
DH034,5.0,6.0,SAP
DH034,6.0,7.0,SAP
DH034,7.0,8.0,SAP
DH034,8.0,9.0,SROC
DH034,9.0,9.6,SAP
DH034,9.6,10.0,SROC
DH034,10.0,11.0,BRK
